Date,Latitude,Longitude,Depth_km,Magnitude_ML,Location,Nearest_Fault,Fault_Length_km,Fault_Width_m,Fault_Depth_m,Fault_Type,Length_km,Seismogenic_Depth_km,Slip_Rate_mm_per_yr,Max_Surface_Slip_m,Recurrence_Interval_yr,Last_Event_Year,Last_Event_Mw,Elapsed_Time_yr,Slip_Deficit_m,Normalized_Slip_m_per_km,Moment_Potential_Nm,Mw_Potential
2025-04-23,40.8394,28.4,15.05,2.5,Marmara Denizi - [20.67 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8442,28.3108,5.23,2.6,Marmara Denizi - [24.05 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8353,28.3511,6.97,2,Marmara Denizi - [22.91 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8567,28.3014,14.58,3.5,Marmara Denizi - [23.07 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8467,28.4094,8.33,2.8,Marmara Denizi - [19.63 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8483,28.3342,7.02,3.4,Marmara Denizi - [22.48 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8442,28.2692,6.88,2.3,Marmara Denizi - [24.74 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8533,28.3867,6.95,2.2,Marmara Denizi - [19.71 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8533,28.2928,7,2.1,Marmara Denizi - [23.63 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,10,2,3,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8525,28.36,18.99,2.9,Marmara Denizi - [20.89 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8458,28.3714,6.97,2.6,Marmara Denizi - [21.05 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8181,28.3203,6.93,2.1,Marmara Denizi - [25.91 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu Ulubat Fayı,16,2,3,strike-slip + minor vertical,50,15,3.5,3,650,1855,7,170,0.595,0.06,1.34E+19,2.051132989
2025-04-23,40.8181,28.0414,12.79,2.9,Marmara Denizi - [17.86 km] Marmaraereğlisi (Tekirdağ),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8075,28.0275,7.01,2.9,Marmara Denizi - [18.54 km] Marmaraereğlisi (Tekirdağ),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8408,28.2842,7,2.2,Marmara Denizi - [25.09 km] Silivri (İstanbul),Manyas Fay Zonu,15,2,2,normal (listric),38,12,0.8,0.5,600,1964,6.8,61,0.0488,0.01315789474,6.68E+17,1.183003946
2025-04-23,40.8386,28.4442,6.52,2.6,Marmara Denizi - [19.00 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
